Source,Target,Weight
Scenery,Mood,0.786361516
Anapji,Museum,0.785533607
Morning,Mood,0.785007417
Village,Location,0.784634888
Mood,Mood,0.784477711
Cafe,Food,0.78444767
Cherry blossom,Street,0.784230173
Gyeongju,Korean beef,0.784229398
Scenery,Weather,0.783741534
Order,Meal,0.783638656
Ready,Possibility,0.783260703
Leaf Wraps and Rice,Mom,0.783185899
Era,Experience,0.782680154
Restaurant,Mom,0.782476544
Downtown,Street,0.782153487
Experience,One day,0.782055974
Mind,Entrance,0.781097949
Arrival,Accomodation,0.781001389
Time,Lunch,0.780406475
Appearance,Sound,0.779834747
Popular restaurant,Mom,0.779780388
Mood,Mom,0.779606164
Soft tofu,Korean Table d'hote,0.779494882
Time,Accomodation,0.779488027
Museum,Course,0.779340327
Pension,Korean beef,0.779023886
Meal,Side dish,0.778620958
Soft tofu,Branch,0.778558552
Weather,Hanok,0.778158188
Morning,Sound,0.778154552
Weather,Dinner,0.777861595
Location,Yangdong,0.777805924
Side dish,Mood,0.777782798
Meal,Coffee,0.777674258
Bomun complex,Street,0.777559638
Soft tofu,Mom,0.777529418
Mind,Walk,0.777422249
Morning,Site,0.776955545
Accomodation,One day,0.77693975
Ready,Mom,0.776784182
Time,Bus,0.77634424
Dinner,Leaf Wraps and Rice,0.775649846
Cheomseongdae,Complex,0.7753672
Pension,Bus,0.77511996
Photo,Bulguksa temple,0.774942756
Photo,Thinking,0.774239361
Sky,One day,0.774173975
Grilled Short Rib Patties,Coffee,0.774011195
Time,Start,0.773981571
Ready,Story,0.773960471
Sightseeing,Walk,0.773265719
Travel,Arrival,0.772953987
Cherry blossom,Complex,0.772834539
Grilled Short Rib Patties,Mood,0.772749603
Bulgogi,Visit,0.772738576
Order,Branch,0.772256911
Accomodation,Street,0.77200371
Bomun complex,Cherry blossom,0.771975398
Famous,Mom,0.77175653
Popular restaurant,Food,0.77133745
Soft tofu,Visit,0.770688474
Cheomseongdae,Cheonmachong,0.770591676
Menu,Mood,0.770280004
Mom,Lunch,0.769978642
Cheonmachong,Complex,0.769812405
Coffee,Korean beef,0.769278347
Mom,Sound,0.76916194
Photo,Mom,0.768895745
Daereungwon,Entrance fee,0.768461347
Soft tofu,Leaf Wraps and Rice,0.768371105
Mind,Weather,0.767715931
Grilled Short Rib Patties,Branch,0.767391562
Bomun complex,Sightseeing,0.767038822
Time,Complex,0.766183913
Complex,Departure,0.765346766
Museum,Culture,0.765320599
Location,Korean beef,0.765023887
Weather,Mood,0.764838576
Bulguksa temple,Thinking,0.764833391
Korean beef,Lunch,0.764832318
Bus,Street,0.764799237
Mom,Branch,0.764742076
Story,Sound,0.764603198
Meal,Mood,0.764549017
Hanok,Ready,0.764534652
Order,Mood,0.764406204
Menu,Recommendation,0.764087677
Entrance,Space,0.763897061
Wind,Story,0.763466358
Complex,One day,0.76324904
Bus,Departure,0.763183117
Scenery,Sound,0.763128459
Friend,Tree,0.76260221
Downtown,Complex,0.762188733
Cafe,Street,0.762170792
Restaurant,Menu,0.761961699
Street,Entrance fee,0.76192677
Morning,Mind,0.761818707
Museum,Namsan mountain,0.761731029
Weather,Leaf Wraps and Rice,0.761254847
Wind,Possibility,0.761162341
Thinking,Leaf Wraps and Rice,0.76116091
Menu,Korean beef,0.760786593
Coffee,Mom,0.760523438
Korean beef,Leaf Wraps and Rice,0.760519445
Sky,Story,0.760106146
Appearance,Walk,0.75987488
Price,Mom,0.75954932
Korean beef,Mom,0.759376109
Dinner,Lunch,0.759342551
Pension,Street,0.759212315
Bomun complex,Walk,0.758929968
Culture,Experience,0.758719802
Bus,Utilization,0.757721305
Time,Thinking,0.757247865
Cherry blossom,Walk,0.757003129
Cherry blossom,Tree,0.756550193
Leaf Wraps and Rice,Entrance fee,0.756514728
Complex,Entrance fee,0.756128132
Era,Walk,0.755695164
Museum,Departure,0.755555272
Bicycle,Departure,0.755519509
Walk,Entrance fee,0.755436718
Meal,Experience,0.755372643
Travel,Cafe,0.755245507
Name,Mood,0.755241752
Appearance,Entrance fee,0.75504458
Weather,Walk,0.755019903
Visit,Leaf Wraps and Rice,0.75496161
Recommendation,Price,0.754928589
Leaf Wraps and Rice,Walk,0.754821301
Bomun complex,Course,0.75477469
Cafe,Lunch,0.754670024
Coffee,Recommendation,0.754487336
Mind,Scenery,0.754278183
Yangdong,Walk,0.754094779
Accomodation,Walk,0.7530213
Bulguksa temple,Mind,0.752429247
Bulgogi,Soft tofu,0.752191961
Grilled Short Rib Patties,Leaf Wraps and Rice,0.751195848
Course,Bus,0.751007915
Bomun complex,Museum,0.750881255
Korean Table d'hote,Visit,0.750787377
Restaurant,Coffee,0.750599742
Soft tofu,Order,0.750392616
Site,Mood,0.750054359
Cheonmachong,Korean beef,0.750030577
Order,Lunch,0.75001955
Restaurant,Order,0.750017226
Mood,Sound,0.749930203
Thinking,Maple,0.749823213
Start,Story,0.749595284
Photo,Autumn,0.749554217
Night view,Dinner,0.749361753
Cheonmachong,Leaf Wraps and Rice,0.748985946
Side dish,Coffee,0.748761237
Restaurant,Price,0.748308778
Course,Accomodation,0.748235941
Grilled Short Rib Patties,Lunch,0.748183787
Time,Night view,0.747977257
Street,One day,0.747812569
Bulgogi,Branch,0.747735202
Course,Leaf Wraps and Rice,0.747705102
Korean beef,Complex,0.747564614
Popular restaurant,Lunch,0.747551799
Mood,Walk,0.74706167
Weather,Accomodation,0.746744931
Sightseeing,Leaf Wraps and Rice,0.746692479
Meal,Visit,0.746686161
Soft tofu,Grilled Short Rib Patties,0.74667275
Cheonmachong,Location,0.746623456
Site,Meal,0.746421635
Meal,Korean Table d'hote,0.746049345
Museum,Daereungwon,0.74592036
Cafe,Korean Table d'hote,0.745893359
Arrival,Night view,0.745616913
Building,World,0.745530784
History,Leaf Wraps and Rice,0.745387852
Korean Table d'hote,Price,0.745209277
Cafe,Utilization,0.745064795
Food,Menu,0.744885147
Weather,Street,0.744307339
Restaurant,Bulgogi,0.744295418
Cherry blossom,Wind,0.744213164
Bulguksa temple,Entrance,0.744097829
Downtown,Accomodation,0.743389249
Weather,Entrance fee,0.742983818
Cafe,Leaf Wraps and Rice,0.74289906
Cheomseongdae,History,0.742815375
Site,Scenery,0.742647111
Travel,Family,0.742559731
Grilled Short Rib Patties,Ready,0.742225707
Weather,Entrance,0.742158175
Famous,Visit,0.742065251
Meal,Hanok,0.741835177
Thinking,Famous,0.741682053
Bulgogi,Mood,0.741669714
Travel,Weather,0.741614878
Bus,Leaf Wraps and Rice,0.741387248
Pension,Mom,0.741260409
Daereungwon,Leaf Wraps and Rice,0.74097544
Location,Parking lot,0.740504861
Hanok,Mood,0.740359962
Site,Weather,0.74013257
Bomun complex,Cheonmachong,0.73977232
Meal,Lunch,0.73963654
Mood,Sound,0.739556849
Bomun complex,Departure,0.739346862
Bus,Yangdong,0.739271522
Thinking,Food,0.739120483
Space,Sound,0.739117622
Price,Utilization,0.739063561
Thinking,Mind,0.738891542
Mood,Ready,0.73862946
Mind,Space,0.738601863
Side dish,Recommendation,0.738572896
Bus,Experience,0.73852843
Weather,Sound,0.738525152
Daereungwon,Walk,0.738029182
Downtown,Korean beef,0.737309575
Thinking,Departure,0.73691076
Grilled Short Rib Patties,Space,0.73665297
Night view,Visit,0.736127436
Menu,Branch,0.736122847
Mind,Start,0.736118019
Cafe,Arrival,0.735855997
Popular restaurant,Street,0.735757351
Bus,Korean beef,0.735741854
Friend,Beach,0.735673189
Thinking,Mood,0.735651731
Time,Weather,0.735093474
Grilled Short Rib Patties,Mood,0.735015988
Weather,Wind,0.734970212
Village,Mind,0.734945893
Weather,One day,0.734311938
Food,Order,0.733944118
Gyeongju,Departure,0.733781576
Memory,Walk,0.733540833
Cafe,Bulgogi,0.73349309
Order,Coffee,0.733408749
People,Mind,0.733382583
Bulguksa temple,Time,0.73325479
Departure,One day,0.73302114
Time,Entrance fee,0.732840538
Bomun complex,Night view,0.732821405
Cheomseongdae,Sightseeing,0.732549369
Mind,Street,0.732411504
Family,Space,0.731933832
Beach,Space,0.731922507
Night view,Weather,0.731756747
Mind,Sound,0.731652558
Mood,Story,0.731429756
Side dish,Visit,0.731049478
Travel,Sightseeing,0.731016695
Site,Mood,0.730781376
Photo,Entrance,0.730765164
Utilization,Space,0.730462134
Tree,Entrance fee,0.730193496
Bulgogi,Hanok,0.729647219
Cherry blossom,Name,0.729643703
Departure,Lunch,0.729275346
Weather,Meal,0.729151785
Cafe,Departure,0.729076207
Grilled Short Rib Patties,Possibility,0.729054749
Night view,Departure,0.728900373
Cafe,Start,0.728736341
Menu,Ready,0.72873348
Travel,Bomun complex,0.728648782
Mom,Street,0.728446186
Time,Course,0.728419721
Daereungwon,Downtown,0.728025079
Museum,Walk,0.727910995
People,Cafe,0.727866292
Time,Mom,0.727725685
Travel,Recommendation,0.727697492
Restaurant,Side dish,0.727398157
Cheonmachong,Accomodation,0.727263331
Time,Cafe,0.727195382
Restaurant,Korean Table d'hote,0.727167368
Utilization,Departure,0.72639066
Mind,Memory,0.726276278
Thinking,Arrival,0.726118326
Night view,Scenery,0.726093829
Cafe,Downtown,0.725892842
Site,Mom,0.725764096
Thinking,Scenery,0.7256791
Menu,Utilization,0.725626171
Pension,Accomodation,0.725615025
Weather,Mom,0.725596726
Accomodation,Story,0.725320876
Price,Korean beef,0.725307405
Popular restaurant,Parking lot,0.725228071
Village,History,0.725111604
Dinner,Experience,0.724653661
Thinking,Start,0.724442422
Anapji,Entrance fee,0.724340022
Thinking,Street,0.724321783
Order,Recommendation,0.724244654
Culture,Yangdong,0.724017382
Weather,Story,0.723964632
Tree,Space,0.723952055
Cheomseongdae,Accomodation,0.723897994
Sightseeing,Tree,0.723858118
Korean beef,Departure,0.723745227
Street,Walk,0.723374069
Coffee,Street,0.72331816
Soft tofu,Night view,0.723022401
Photo,Mind,0.722986817
Thinking,Visit,0.722794831
Village,Walk,0.722777069
Time,Mind,0.722694755
Memory,Entrance fee,0.72269088
Name,Mom,0.722532868
Hotel,Utilization,0.722474456
Hanok,Mood,0.722441018
Photo,Scenery,0.722107291
Beach,Wind,0.721965551
Travel,Thinking,0.721242905
Accomodation,Entrance fee,0.720812857
Popular restaurant,Leaf Wraps and Rice,0.720637858
Museum,Accomodation,0.720416009
Coffee,Downtown,0.720398068
Anapji,Complex,0.72014761
Possibility,Sound,0.720083952
Travel,Grilled Short Rib Patties,0.719837487
Hanok,Mom,0.719647884
Food,Mom,0.71959722
Museum,Lunch,0.719575822
Scenery,Tree,0.719568729
Mind,Yangdong,0.719563782
Arrival,Mood,0.719517708
Night view,Complex,0.719426692
Sightseeing,Departure,0.71892345
Gyeongju,Recommendation,0.718831599
Family,Weather,0.718748629
Thinking,Cafe,0.718616128
Popular restaurant,Side dish,0.718614221
Popular restaurant,Famous,0.718376696
Time,Story,0.718350649
Food,Recommendation,0.718128383
Thinking,Autumn,0.718011498
Gyeongju,Cafe,0.717826664
Appearance,Morning,0.717317343
Recommendation,Mood,0.717116475
Accomodation,Visit,0.716601491
Photo,Start,0.716545582
Cafe,Ready,0.71651113
Space,Departure,0.716262877
Recommendation,Street,0.716255367
Travel,Mood,0.716195583
Pension,Experience,0.716097713
Side dish,Mood,0.716070831
Arrival,Morning,0.716066837
Lunch,Street,0.716049433
Food,Korean beef,0.716000259
Bulguksa temple,History,0.715229928
Weather,Visit,0.715132058
Order,Ready,0.71505481
Restaurant,Mood,0.714842975
Cafe,Name,0.714754999
Menu,Leaf Wraps and Rice,0.714754999
Cheomseongdae,Era,0.714696765
Morning,Walk,0.714677691
Bulgogi,Mood,0.714540482
Price,Mood,0.714490235
Menu,Possibility,0.714032829
Grilled Short Rib Patties,Cheonmachong,0.713887274
Morning,Entrance,0.713664949
Bomun complex,Cheomseongdae,0.713649631
Grilled Short Rib Patties,Name,0.71357125
Cherry blossom,Leaf Wraps and Rice,0.713397503
Photo,Famous,0.713223934
Thinking,Mom,0.713198781
Appearance,Mom,0.712902248
Scenery,Leaf Wraps and Rice,0.712897658
Mind,Maple,0.712670565
Accomodation,Departure,0.712660253
History,Walk,0.712563574
Cafe,Parking lot,0.712505519
Seokguram,Entrance fee,0.7124089
Bulgogi,Lunch,0.711801231
Hanok,Sound,0.71178633
Weather,Memory,0.711606503
Popular restaurant,Location,0.71130091
Recommendation,Leaf Wraps and Rice,0.710709274
Night view,Accomodation,0.710613787
Story,Mom,0.710589826
Daereungwon,Memory,0.71038729
Name,Building,0.710312366
Thinking,Walk,0.710235775
Meal,Korean beef,0.710068047
Weather,History,0.710050285
Night view,Mom,0.710036814
Pension,Weather,0.709789038
Bus,Hanok,0.709730923
Sightseeing,Entrance fee,0.709713638
Visit,Lunch,0.709551394
Photo,Mood,0.709263623
Gyeongju,Street,0.709237516
Appearance,Sightseeing,0.709074795
Bulgogi,Sound,0.709066987
Cafe,Sightseeing,0.709014952
Wind,Walk,0.708886266
Popular restaurant,Mood,0.708734989
Seokguram,Entrance,0.708670676
Thinking,Weather,0.708615005
Downtown,Parking lot,0.708441257
Travel,Mind,0.708416402
Museum,Bicycle,0.70838511
Food,Meal,0.708265066
Popular restaurant,Korean Table d'hote,0.708114743
Soft tofu,Menu,0.708034456
Story,Possibility,0.708031356
Mind,Site,0.707619786
Sightseeing,Mood,0.707269013
Mind,Departure,0.707100391
Pension,Mood,0.707041383
History,Visit,0.707005918
Mind,History,0.706930161
Cheomseongdae,Street,0.706894219
Night view,Famous,0.706712902
Entrance,Parking lot,0.706185818
Autumn,Family,0.705941677
Culture,World,0.705911636
Friend,Mind,0.705896914
Sightseeing,Recommendation,0.70566088
Course,Departure,0.705356598
Travel,Time,0.70534879
Mood,Leaf Wraps and Rice,0.705297351
Soft tofu,Recommendation,0.705278397
Cafe,Cheonmachong,0.705190778
Silla,Museum,0.705037355
Side dish,Ready,0.705030799
Travel,Autumn,0.70498234
Building,Mom,0.704894483
Complex,Wind,0.704874516
Gyeongju,Grilled Short Rib Patties,0.704463363
History,Complex,0.704258263
Popular restaurant,Mood,0.704253316
Time,Mood,0.703912616
Popular restaurant,Meal,0.703859508
Dinner,Hanok,0.70377326
Korean beef,Accomodation,0.703757584
Popular restaurant,Departure,0.703485906
Sightseeing,Downtown,0.703170598
Cafe,Possibility,0.703169703
Mind,Story,0.702811062
Parking lot,Mom,0.70270294
Family,Wind,0.702681005
Bicycle,Leaf Wraps and Rice,0.70264262
Dinner,Ready,0.702559292
Weather,Departure,0.702340603
Anapji,History,0.702136576
Travel,One day,0.701867163
Friend,Memory,0.701854408
Tree,Memory,0.701635838
Village,Culture,0.701631546
Travel,Complex,0.701581597
Arrival,Utilization,0.701520503
Cafe,Famous,0.701505363
Order,Korean beef,0.701372862
Photo,Weather,0.701347291
Dinner,Visit,0.701081932
Site,Hanok,0.701050758
Popular restaurant,Soft tofu,0.700999737
History,Yangdong,0.700840116
People,Space,0.700832725
Start,One day,0.700829506
Bulgogi,Recommendation,0.700608373
Leaf Wraps and Rice,One day,0.700488627
Silla,Village,0.700192869
Accomodation,Mood,0.700191438
Recommendation,Lunch,0.700173318
Bulguksa temple,Memory,0.700079679
Museum,Bus,0.699781656
Korean Table d'hote,Mood,0.699535608
Yangdong,One day,0.699402273
Daereungwon,Complex,0.699341238
Bulguksa temple,Entrance fee,0.699182272
Mind,Tree,0.699120402
Night view,Street,0.699113667
Location,Era,0.69889015
Entrance,Complex,0.698797941
Village,Bus,0.698722184
Silla,Visit,0.698219717
Appearance,Famous,0.697944105
Walk,Sound,0.697809756
Bus,Cheonmachong,0.697617531
Anapji,Street,0.697605133
Cheomseongdae,Visit,0.697561502
Pension,Complex,0.697322309
Time,Museum,0.697210312
Travel,Lunch,0.697112799
Entrance,Tree,0.696955144
Korean Table d'hote,Mood,0.696652949
Photo,Morning,0.696502984
Weather,Experience,0.696500421
Hanok,Accomodation,0.696391821
Cafe,Daereungwon,0.696359575
Course,Culture,0.69635272
Bus,Walk,0.69629699
Meal,Price,0.696294785
Sightseeing,Name,0.696048677
Food,Branch,0.69599998
Arrival,Mom,0.695817888
People,Tree,0.695629418
Utilization,Leaf Wraps and Rice,0.695487976
Accomodation,Lunch,0.694943249
Ready,Wind,0.694810212
Soft tofu,Lunch,0.694400728
Korean beef,Mood,0.694397509
Menu,Street,0.694355905
Photo,Site,0.694261909
Travel,Night view,0.694233894
Side dish,Leaf Wraps and Rice,0.694091141
Korean Table d'hote,Lunch,0.694082737
Time,Maple,0.694010317
Hanok,Name,0.693989992
Bulguksa temple,Departure,0.693943083
Arrival,Korean beef,0.693890512
Scenery,Visit,0.693806112
Bulguksa temple,Street,0.693770468
Morning,Space,0.693678558
Food,Coffee,0.693508387
Coffee,Lunch,0.693341196
Entrance,Story,0.693196952
Location,Mom,0.693061888
Museum,Entrance fee,0.693022728
Dinner,Accomodation,0.692818701
Cherry blossom,Cheomseongdae,0.692798138
Price,Possibility,0.692784786
Grilled Short Rib Patties,Utilization,0.692726672
Sightseeing,Korean beef,0.692525625
Dinner,Mood,0.692500174
Village,One day,0.692452371
World,Era,0.692392468
Cafe,Story,0.692240417
Scenery,History,0.691930056
History,Accomodation,0.691881478
Weather,Sky,0.691774249
Location,Street,0.691685677
Silla,Yangdong,0.69161272
Friend,Walk,0.6915766
Start,Sound,0.691488862
Leaf Wraps and Rice,Space,0.691386461
Photo,Space,0.691129804
Leaf Wraps and Rice,Branch,0.69104898
Bomun complex,Recommendation,0.69068408
Travel,Entrance fee,0.690487325
Story,Street,0.690232158
Weather,Famous,0.690168858
Cheonmachong,Lunch,0.689862311
Entrance,Wind,0.689827621
Dinner,Mom,0.689785182
Site,Entrance,0.689714909
Famous,Leaf Wraps and Rice,0.68949753
Cherry blossom,Departure,0.689435124
People,Start,0.689429939
Mind,Entrance fee,0.689365685
Thinking,Side dish,0.689231932
Side dish,Famous,0.689193666
Time,Scenery,0.688906133
Wind,Departure,0.688844144
Bulguksa temple,Complex,0.68882215
Travel,Museum,0.688445151
Mind,Experience,0.688166738
Entrance,One day,0.688022017
Cherry blossom,Mood,0.687993824
Mood,Name,0.687793136
