Source,Target,Weight
Sea,Abalone,0.900719464
Recommendation,Seaside,0.900569201
Seongsan,Sightseeing,0.900448143
Side dish,Resort,0.90035224
Sky,Autumn,0.900320947
Seongsan,Hallasan mountain,0.900292039
Seongsan,Lunch,0.900184512
Popular restaurant,Entrance,0.900027573
Photo,Weather,0.899820328
Meal,Dinner,0.899726212
Meat,Airplane,0.899505198
Seaside,Woman diver,0.899157226
Recommendation,Dinner,0.899035573
Weather,Airplane,0.898642898
Photo,Accomodation,0.898357689
Hot Pot,Lunch,0.898140132
Jeju Island,Hot Pot,0.898037672
Airplane,WaterFall,0.898003638
Arrival,Ilchulbong,0.897344232
Wind,Hallasan mountain,0.897279322
Recommendation,Emotion,0.897026539
Dinner,WaterFall,0.896645367
Lunch,Autumn,0.89649111
Weather,Sightseeing,0.896413803
Popular restaurant,Sashimi restaurant,0.89621824
Meat,Jeju city,0.89620626
Meal,Recommendation,0.896005452
Airplane,Ready,0.895868897
Cutlassfish,Reservation,0.895789206
Accomodation,Arrival,0.895702302
Sightseeing,Tourism,0.895603597
Braised cutlassfish,Sightseeing,0.895587683
Photo,Airplane,0.895526409
Sashimi restaurant,Side dish,0.895331204
Aewol,Introduction,0.895323873
Braised cutlassfish,Grilled dish,0.895040751
Ilchulbong,Sightseeing,0.89480561
Tree,Sightseeing,0.894740701
Order,Sightseeing,0.894728541
Order,Sashimi restaurant,0.894568503
Jungmun tourism complex,Entrance,0.894365191
Order,Recommendation,0.894189119
Meat,Park,0.894064188
Seaside,Park,0.89405638
Ilchulbong,Lunch,0.893851817
Recommendation,Side dish,0.89384079
Course,Sashimi restaurant,0.893273234
Coffee,Emotion,0.89300257
Tourism,Introduction,0.892985284
Order,Branch,0.892954528
Airport,Ilchulbong,0.892701149
Seaside,Sightseeing,0.892699003
Sightseeing,Autumn,0.892201662
Space,Introduction,0.892187953
Accomodation,Hallasan mountain,0.891577065
Braised cutlassfish,Autumn,0.891552329
Cafe,Coast,0.891330659
Scenery,WaterFall,0.89120096
Morning,Sightseeing,0.891103804
Road,Aewol,0.891063988
Pension,Tree,0.890932322
Sightseeing,Lunch,0.890868843
Pension,Braised cutlassfish,0.890541673
Travel,Airport,0.890264153
Experience,Emotion,0.890207291
Aewol,Name,0.890189826
Aewol,Tourism,0.890103757
Scenery,Jungmun tourism complex,0.889517307
Sightseeing,Side dish,0.889319479
Recommendation,Mood,0.888869166
Emotion,Sightseeing,0.888715088
Braised cutlassfish,Dinner,0.888625026
Meat,Grilled dish,0.888029277
Scenery,House,0.887965024
Popular restaurant,Village,0.88754797
Photo,Sightseeing,0.887284935
Abalone,Braised cutlassfish,0.886850476
Jeju Island,Photo,0.88678652
Popular restaurant,Price,0.88609916
Side dish,Branch,0.885936797
Meal,Pension,0.885861397
Experience,WaterFall,0.885847867
Photo,Scenery,0.885731816
Meal,Autumn,0.885305762
Spot,Tree,0.885194719
Famous,Aewol,0.885020733
Seogwipo,Jungmun tourism complex,0.884901226
Order,Entrance,0.884717941
Meal,Braised cutlassfish,0.884641826
Airplane,Autumn,0.884598494
Hallasan mountain,Autumn,0.884316504
Visit,Entrance,0.883949161
House,Mood,0.883918941
Order,Resort,0.883915722
Seongsan,Hot Pot,0.883895993
Seogwipo,Experience,0.883658171
Jeju Island,Braised cutlassfish,0.883657753
Restaurant,Grilled dish,0.883577466
Scenery,Wind,0.883085608
Ready,Side dish,0.882963181
Photo,Morning,0.88260287
Tree,Emotion,0.882471621
Photo,House,0.881941676
Accomodation,Road,0.881739199
Dinner,Hot Pot,0.881625235
Abalone,Order,0.881521165
Seogwipo,WaterFall,0.881497741
Emotion,Entrance,0.881475866
Order,Park,0.88116914
Experience,Reservation,0.880652606
Experience,Braised cutlassfish,0.880473554
Order,Ready,0.880329669
Tree,Aewol,0.880179763
Course,Jeju city,0.880166888
Ready,Emotion,0.880134046
Braised cutlassfish,Park,0.880023003
Sea,Woman diver,0.879572213
Recommendation,Reservation,0.879520416
Coffee,Airplane,0.879514277
Family,Reservation,0.879512131
Order,Hot Pot,0.87950021
Airport,Weather,0.879350901
Meat,Tree,0.87892884
Food,Grilled dish,0.878877938
Course,Tree,0.878739774
Recommendation,Name,0.878047228
Weather,WaterFall,0.878042459
Popular restaurant,Name,0.877978086
Park,Sightseeing,0.877946138
Emotion,Autumn,0.877842546
Appearance,Introduction,0.877720833
Hotel,Seogwipo,0.876932323
Sightseeing,Hot Pot,0.87651217
Seaside,Name,0.876503348
Mood,Introduction,0.876253188
Abalone,Side dish,0.87603718
Tree,Tourism,0.876009285
Ilchulbong,Hot Pot,0.876007378
Pension,Famous,0.875937819
Seogwipo,House,0.875863612
Braised cutlassfish,WaterFall,0.875624478
Side dish,Hot Pot,0.875586808
Pension,Name,0.875451624
Visit,Sightseeing,0.875432193
Village,Recommendation,0.875415325
Popular restaurant,House,0.875365674
Seongsan,Weather,0.874981761
Spot,Park,0.874774456
Tree,Airplane,0.874743581
Scenery,Accomodation,0.874722242
Scenery,Spot,0.874659359
Abalone,Airplane,0.874491334
Meal,Weather,0.87448287
Accomodation,Braised cutlassfish,0.874210536
Meat,Village,0.874159515
Scenery,Introduction,0.87375319
Scenery,Meal,0.873647928
Meal,Arrival,0.87349242
Recommendation,Famous,0.873456955
Travel,Accomodation,0.873405099
Cutlassfish,Tree,0.873325586
Side dish,Grilled dish,0.873073637
Seaside,Ready,0.873048425
Pension,Tourism,0.872920811
Hallasan mountain,Sightseeing,0.872875094
Recommendation,Park,0.872483492
Seaside,Sashimi restaurant,0.872384787
Dinner,Autumn,0.872298717
Seogwipo,Sightseeing,0.872290075
Recommendation,Introduction,0.872133911
Meat,Pension,0.872030735
Jeju Island,Course,0.871910572
Seaside,Tourism,0.871728837
Accomodation,Airplane,0.871727705
Abalone,Sky,0.871576428
Seongsan,Meal,0.871448696
Seongsan,Morning,0.871422887
Experience,Coffee,0.871280789
Pension,Jeju city,0.871189117
Road,Pension,0.871090412
Order,Price,0.870908856
Order,WaterFall,0.87065959
Cafe,Recommendation,0.870388031
Recommendation,Jeju city,0.870241642
Space,Park,0.869894564
Name,Tourism,0.869833767
House,Introduction,0.869178653
Village,Aewol,0.869038761
Travel,Hot Pot,0.868833959
Meat,Sightseeing,0.868805051
Photo,Meal,0.868773758
Meat,Entrance,0.868618011
Airplane,Lunch,0.868425071
Abalone,Reservation,0.868317783
Seongsan,Autumn,0.867990851
Accomodation,Seogwipo,0.867898643
House,Sightseeing,0.86786598
Popular restaurant,Cafe,0.867503881
Course,Sightseeing,0.867412806
Meal,Airplane,0.867205501
Photo,Coast,0.866802931
Course,Pension,0.866540253
Popular restaurant,Abalone,0.86619252
Cutlassfish,Airplane,0.865907967
Park,Side dish,0.865846157
Braised cutlassfish,Coffee,0.865750372
Order,Possibility,0.865749657
Popular restaurant,Introduction,0.865569949
Popular restaurant,Coast,0.865412176
Experience,Seaside,0.865406215
Recommendation,Tree,0.865318835
Family,Side dish,0.865309596
Arrival,Hot Pot,0.864899099
Accomodation,Recommendation,0.864815414
Price,Side dish,0.864624202
Popular restaurant,Family,0.864446938
Photo,Aewol,0.864250779
Ready,WaterFall,0.863960981
Appearance,House,0.863678396
Pension,Sightseeing,0.863623738
Reservation,Summer,0.863579452
Morning,Ilchulbong,0.863404155
Spot,Braised cutlassfish,0.863181233
Morning,Autumn,0.863016248
Braised cutlassfish,Lunch,0.862969875
Accomodation,Autumn,0.862793446
Food,Reservation,0.862788975
Grilled dish,Hot Pot,0.862688839
Order,Pension,0.862588406
Cafe,Introduction,0.86216104
Mood,Name,0.861978412
Accomodation,Pension,0.861868501
Popular restaurant,Cutlassfish,0.86181736
Scenery,Lunch,0.861501753
Coast,Introduction,0.861473799
Entrance,Side dish,0.861320555
Braised cutlassfish,Aewol,0.86108017
Jeju city,Hot Pot,0.861002803
Emotion,Grilled dish,0.86089766
Spot,WaterFall,0.860370338
Tree,Reservation,0.860197723
Jungmun tourism complex,Introduction,0.860147536
Spot,Ilchulbong,0.860073447
Order,Jeju city,0.860070467
Course,Park,0.859942853
Meat,Hot Pot,0.859872341
Photo,Sky,0.859852493
Seaside,Tree,0.85945338
Spot,Sightseeing,0.859305799
Jeju Island,Airplane,0.859284163
Meal,Ilchulbong,0.859282374
Course,Dinner,0.859257698
Weather,Lunch,0.859235644
Airplane,Sashimi restaurant,0.859162569
Sashimi restaurant,Hot Pot,0.859076977
Woman diver,Summer,0.859064519
Pension,Reservation,0.858927608
Cutlassfish,Ready,0.858907163
Coast,Tree,0.858872592
Travel,WaterFall,0.858767986
Course,Experience,0.858739257
Ready,Autumn,0.858521819
Family,Airplane,0.858421803
Sky,Emotion,0.858191192
Sea,Seaside,0.8581236
Restaurant,Summer,0.857691765
Spot,Hallasan mountain,0.857546687
Possibility,Side dish,0.857477129
Jeju city,Side dish,0.857260644
Recommendation,Hot Pot,0.857237101
Popular restaurant,Spot,0.857172608
Order,Grilled dish,0.857043147
Restaurant,Sashimi restaurant,0.857030928
Accomodation,Weather,0.856960356
Jeju Island,Accomodation,0.856960118
Park,Name,0.856740296
Jeju city,Tree,0.856597424
Side dish,WaterFall,0.856381416
Weather,Ilchulbong,0.856262386
Weather,Ready,0.855952144
Order,House,0.85587436
Village,Pension,0.855448484
Scenery,Morning,0.855440378
Ilchulbong,Autumn,0.855272591
Braised cutlassfish,Summer,0.855112791
Restaurant,Food,0.85502851
Famous,Filming,0.854965985
Emotion,Hot Pot,0.854770362
Photo,Appearance,0.854639888
Popular restaurant,Space,0.854508519
