Source,Target,Weight
Experience,Resource,0.827284157
Apartment,Evaluation,0.827236235
Daejeon,Bicycle,0.827104867
Village,Volunteer,0.826979995
possibility,Apartment,0.826774836
Banpo-myeon,Public official,0.826644719
Progress,School,0.826391101
Photo,School,0.82627362
Korea,Program,0.826102197
Plan,Apartment,0.826002359
Target,Health,0.825637162
Environment,Banpo-myeon,0.825462997
Event,Restaurant,0.825437546
Event,Korea,0.825381517
Chungcheongnam-do,Capital,0.825144589
Journalist,Price,0.825093985
Capital,Daejeon,0.824829876
Management,Development,0.824752212
City,Apartment,0.824289739
Apartment,Construction,0.824198782
Utilization,Use,0.823975742
Event,Resource,0.823821545
possibility,District,0.822624207
Space,Environment,0.822579026
Development,District,0.822178006
Banpo-myeon,Civil complaint,0.822080135
Magoksa temple,School,0.821955502
Event,Family,0.821902156
Happiness,Provide,0.821703136
Progress,Program,0.821551085
Utilization,Travel,0.821295738
Gongsanseong fortress,Building,0.821233034
Business,Selection,0.821066558
Housing,Designation,0.820943236
Korea,Bicycle,0.820481002
Culture,Experience,0.820331693
Service,Public official,0.820061743
Development,Apartment,0.819762468
Safety,Use,0.819718719
Progress,Resource,0.819601059
Progress,Banpo-myeon,0.819257617
Korea,School,0.819200158
Journalist,Afternoon,0.819179416
Creation,Provide,0.818723977
Capital,Road,0.818693399
Banpo-myeon,Program,0.818378985
Baekje,Era,0.818376303
Management,Use,0.817820132
Center,Provide,0.817755461
Land,Interior,0.817610979
Market,City hall,0.817513943
Education,Target,0.817396879
Land,District,0.817301929
Gongsanseong fortress,Utilization,0.816897452
Experience,Space,0.816826582
Progress,City councilor,0.816669881
Volunteer,Afternoon,0.815936089
Magoksa temple,Lee Kun Young,0.815921247
Park,Travel,0.815734029
Family,Program,0.815526545
Volunteer,Resource,0.815193534
Geumgang river,Park,0.815151274
Resident,Civil complaint,0.815014005
Evaluation,Institution,0.814821005
Seoul,Bicycle,0.814511359
Event,Provide,0.814009011
Installation,Apartment,0.813674569
Gyeryongsan mountain,Program,0.813578427
Space,Use,0.813436031
Happiness,Bicycle,0.813431442
Space,Center,0.813319564
Installation,Bicycle,0.813266456
Visit,City hall,0.813053787
Public official,Afternoon,0.812146008
Plan,possibility,0.812049329
Baekje,History,0.811820865
Daejeon,Travel,0.811520517
Service,Civil complaint,0.81095016
Utilization,Apartment,0.810901403
Gongsanseong fortress,Road,0.810858071
Participation,School,0.810605526
Participation,Program,0.810477436
Selection,Information,0.810292542
Park,Family,0.810231984
Culture,Event,0.810171127
Visit,Banpo-myeon,0.810146809
Construction,Civil complaint,0.809747219
Visit,Afternoon,0.80972296
Service,Volunteer,0.809636891
Utilization,Restaurant,0.809511244
Target,Group,0.80917573
Development,Bicycle,0.809089899
Visit,Service,0.808977485
Life,Banpo-myeon,0.808928132
City,possibility,0.808896244
Happiness,Representative,0.808726609
Activity,Volunteer,0.808142126
Magoksa temple,Provide,0.808135271
City hall,Afternoon,0.808014452
Event,Competition,0.807739317
Happiness,Banpo-myeon,0.807699919
Gongju,Afternoon,0.807629883
Health,Apartment,0.807482362
Capital,Utilization,0.806749046
Photo,Bicycle,0.806473494
Institution,Program,0.806315899
Education,Program,0.805952787
Resource,Civil complaint,0.805897057
Space,Banpo-myeon,0.805590332
Service,School,0.805536151
Education,Restaurant,0.80552882
Tourism,Designation,0.805445015
Target,Selection,0.805332422
Road,Use,0.804977715
Provide,Schedule,0.80482471
Rural,Civil complaint,0.80459857
Capital,City hall,0.804366648
Progress,Bicycle,0.804000616
Volunteer,Public official,0.803866088
Center,Banpo-myeon,0.803786993
Education,Resource,0.803641617
Housing,Apartment,0.803630352
Market,Apartment,0.803436756
Festival,Provide,0.803359866
Lee Kun Young,Happiness,0.80329442
Road,Restaurant,0.802611291
Utilization,Installation,0.802484035
Progress,Happiness,0.802172661
Banpo-myeon,Bicycle,0.802053154
Progress,Korea,0.801604092
Progress,Civil complaint,0.801424205
Environment,Provide,0.801373243
Happiness,Construction,0.801162004
Service,Happiness,0.801142752
Price,Program,0.801045358
Seoul,Restaurant,0.801003277
Road,Seoul,0.800629079
Afternoon,Civil complaint,0.800253272
Lee Kun Young,Price,0.799951136
Visit,Apartment,0.799619198
